"id","name","usage","location_id:id"
stock_location_1,"AKSXB","视图",stock.stock_location_locations
stock_location_2,"阿克苏线边库","内部位置",stock_location_1
stock_location_3,"AKSZ","视图",stock.stock_location_locations
stock_location_4,"阿克苏站","内部位置",stock_location_3
stock_location_5,"解固结束位置","内部位置",stock_location_4
stock_location_6,"解固开始位置","内部位置",stock_location_4
stock_location_7,"卸车位置","内部位置",stock_location_4
stock_location_8,"FTZJC","视图",stock.stock_location_locations
stock_location_9,"长安福特待发区","内部位置",stock_location_8
stock_location_10,"HDXBK","视图",stock.stock_location_locations
stock_location_11,"黄岛线边库","内部位置",stock_location_10
stock_location_12,"HDZ","视图",stock.stock_location_locations
stock_location_13,"黄岛站","内部位置",stock_location_12
stock_location_14,"解固结束位置","内部位置",stock_location_13
stock_location_15,"解固开始位置","内部位置",stock_location_13
stock_location_16,"HETH","视图",stock.stock_location_locations
stock_location_17,"河西（特货）","内部位置",stock_location_16
stock_location_18,"LNXBK","视图",stock.stock_location_locations
stock_location_19,"柳南线边库","内部位置",stock_location_18
stock_location_20,"LNZ","视图",stock.stock_location_locations
stock_location_21,"LNZZK","视图",stock.stock_location_locations
stock_location_22,"柳南中转库","内部位置",stock_location_21
stock_location_23,"柳南站","内部位置",stock_location_20
stock_location_24,"加固结束位置","内部位置",stock_location_23
stock_location_25,"加固开始位置","内部位置",stock_location_23
stock_location_26,"SPZ","视图",stock.stock_location_locations
stock_location_27,"SPZXB","视图",stock.stock_location_locations
stock_location_28,"三枰站线边库","内部位置",stock_location_27
stock_location_29,"三枰站","内部位置",stock_location_26
stock_location_30,"加固结束位置","内部位置",stock_location_29
stock_location_31,"加固开始位置","内部位置",stock_location_29
stock_location_32,"解固结束位置","内部位置",stock_location_29
stock_location_33,"解固开始位置","内部位置",stock_location_29
stock_location_34,"TJCXB","视图",stock.stock_location_locations
stock_location_35,"团结村线边库","内部位置",stock_location_34
stock_location_36,"TJCZ","视图",stock.stock_location_locations
stock_location_37,"团结村站","内部位置",stock_location_36
stock_location_38,"加固结束位置","内部位置",stock_location_37
stock_location_39,"加固开始位置","内部位置",stock_location_37
stock_location_40,"ZTHCK","视图",stock.stock_location_locations
stock_location_41,"中铁缓存库","内部位置",stock_location_40
stock_location_42,"新疆阿克苏秋林汽车贸易有限公司","客户位置",stock.stock_location_customers
stock_location_43,"重庆长安福特VDC库","客户位置",stock.stock_location_customers

