"id","name","warehouse_id","sequence_id:id","code"
stock_picking_type_1,"团结村线边库-送车:公路运输","团结村线边库",ir_sequence_1,"内部"
stock_picking_type_2,"团结村线边库-提车:公路运输","团结村线边库",ir_sequence_1,"内部"
stock_picking_type_3,"团结村线边库-加固","团结村线边库",ir_sequence_1,"内部"
stock_picking_type_4,"团结村线边库-铁路运输","团结村线边库",ir_sequence_1,"内部"
stock_picking_type_5,"团结村线边库-解固","团结村线边库",ir_sequence_1,"内部"
stock_picking_type_6,"团结村线边库-卸车","团结村线边库",ir_sequence_1,"内部"
stock_picking_type_7,"团结村站-铁路运输","团结村站",ir_sequence_1,"内部"
stock_picking_type_8,"团结村站-卸车","团结村站",ir_sequence_1,"内部"
stock_picking_type_9,"团结村站-提车:公路运输","团结村站",ir_sequence_1,"内部"
stock_picking_type_10,"团结村站-加固","团结村站",ir_sequence_1,"内部"
stock_picking_type_11,"团结村站-解固","团结村站",ir_sequence_1,"内部"
stock_picking_type_12,"团结村站-送车:公路运输","团结村站",ir_sequence_1,"内部"
stock_picking_type_13,"团结村站-装车","团结村站",ir_sequence_1,"内部"
stock_picking_type_14,"三枰站-解固","三枰站",ir_sequence_1,"内部"
stock_picking_type_15,"三枰站线边库-加固","三枰站线边库",ir_sequence_1,"内部"
stock_picking_type_16,"三枰站-提车:公路运输","三枰站",ir_sequence_1,"内部"
stock_picking_type_17,"三枰站-铁路运输","三枰站",ir_sequence_1,"内部"
stock_picking_type_18,"三枰站-加固","三枰站",ir_sequence_1,"内部"
stock_picking_type_19,"三枰站-卸车","三枰站",ir_sequence_1,"内部"
stock_picking_type_20,"三枰站-送车:公路运输","三枰站",ir_sequence_1,"内部"
stock_picking_type_21,"三枰站线边库-装车","三枰站线边库",ir_sequence_1,"内部"
stock_picking_type_22,"三枰站线边库-铁路运输","三枰站线边库",ir_sequence_1,"内部"
stock_picking_type_23,"三枰站线边库-送车:公路运输","三枰站线边库",ir_sequence_1,"内部"
stock_picking_type_24,"三枰站线边库-解固","三枰站线边库",ir_sequence_1,"内部"
stock_picking_type_25,"三枰站线边库-提车:公路运输","三枰站线边库",ir_sequence_1,"内部"
stock_picking_type_26,"三枰站线边库-卸车","三枰站线边库",ir_sequence_1,"内部"
stock_picking_type_27,"阿克苏站-送车:公路运输","阿克苏站",ir_sequence_1,"内部"
stock_picking_type_28,"阿克苏站-铁路运输","阿克苏站",ir_sequence_1,"内部"
stock_picking_type_29,"阿克苏站-解固","阿克苏站",ir_sequence_1,"内部"
stock_picking_type_30,"阿克苏站-装车","阿克苏站",ir_sequence_1,"内部"
stock_picking_type_31,"阿克苏站-加固","阿克苏站",ir_sequence_1,"内部"
stock_picking_type_32,"阿克苏站-卸车","阿克苏站",ir_sequence_1,"内部"
stock_picking_type_33,"阿克苏站-提车:公路运输","阿克苏站",ir_sequence_1,"内部"
stock_picking_type_34,"阿克苏线边库-卸车","阿克苏线边库",ir_sequence_1,"内部"
stock_picking_type_35,"阿克苏线边库-提车:公路运输","阿克苏线边库",ir_sequence_1,"内部"
stock_picking_type_36,"阿克苏线边库-装车","阿克苏线边库",ir_sequence_1,"内部"
stock_picking_type_37,"阿克苏线边库-加固","阿克苏线边库",ir_sequence_1,"内部"
stock_picking_type_38,"阿克苏线边库-送车:公路运输","阿克苏线边库",ir_sequence_1,"内部"
stock_picking_type_39,"阿克苏线边库-解固","阿克苏线边库",ir_sequence_1,"内部"
stock_picking_type_40,"阿克苏线边库-铁路运输","阿克苏线边库",ir_sequence_1,"内部"
stock_picking_type_41,"三枰站-装车","三枰站",ir_sequence_1,"内部"
stock_picking_type_42,"河西（特货）- 内部任务","河西（特货）",ir_sequence_2,"内部"
stock_picking_type_43,"河西（特货）-线边接车","河西（特货）",ir_sequence_2,"内部"
stock_picking_type_44,"柳南中转库-公路运输","柳南中转库",ir_sequence_2,"内部"
stock_picking_type_45,"柳南线边库-公路运输","柳南线边库",ir_sequence_2,"内部"
stock_picking_type_46,"柳南站-装车","柳南站",ir_sequence_2,"内部"
stock_picking_type_47,"柳南站-加固","柳南站",ir_sequence_2,"内部"
stock_picking_type_48,"黄岛站-铁路运输","黄岛站",ir_sequence_2,"内部"
stock_picking_type_49,"黄岛站-解固","黄岛站",ir_sequence_2,"内部"
stock_picking_type_50,"黄岛线边库-卸车","黄岛线边库",ir_sequence_2,"内部"
stock_picking_type_51,"团结村线边库-装车","团结村线边库",ir_sequence_1,"内部"
